address,staked_bmx,voter_points
0xEfeF31E95cF75a6d5619310D50c15483CaF593DE,190294.145639811325865116,430989.941929258672636322
0x3F463Ff978e54aBa4c651facd268A4234145e234,132069.561936358986868116,271449.995701457355231764
0x78d4Be02c2259b6f4FB8fD6bFA919d3675fA78f8,121078.089839834664196896,287119.738604672865094359
0x5DdE89Ae15D6186cC8C65298E6975C28Ddd7375e,106427.644393647199415799,214533.75091314557335767
0x28aa4F9ffe21365473B64C161b566C3CdeAD0108,100000,5589.460933536276002021
0x1184cc0F7f327FB1328351659F213880aF55113e,96889.672581962157051455,85251.781597425860928276
0x58761D6C6bF6c4bab96CaE125a2e5c8B1859b48a,92750.991844564471879286,191754.487575430067315459
0x9D13B1faFaA5f3EcA37F724d61697cD420DCB9D7,65503.006406925325754051,134056.536682201971151718
0xAB2DCF4a68Fc91D099FEE8818141fc748dA5381D,60915.573536279859730675,112276.015210381278008966
0x2968eE07E4A7B58AcBd57980aF85C211BF026422,42000,58346.486998985286656353
0x985F6727c6F67e500a17244be81580508e6729C8,40100.795247101039551961,16005.958895982387348396
0x48E53189a4AfF640ce484D89b270c4AedfE4E7Cc,40000,58813.265376105727881913
0xb1a044BB54EcB8fc4d83138795C6eE396dC3133c,35271.41402325560918931,62812.843104276455931481
0x2452E136265E4B2cE559534e9eb18e9907F45973,31000.047303389638050294,26540.197682529811307113
0x4A64DfB5a749ccC87F61Eb7DBcBA9D9dFDC42545,30872.086082995771148324,42591.034584416256758862
0x19145B49fd5e4c345822a4a83Fe5543C5BBB785c,30029.768307811355496944,49072.926873404995898006
0x87155E40F969FDAe7b73015dc2c1ce53003Ff70F,29703.851267527395304049,52332.291504754649697287
0xd12A53Cd2ab3Fd54618670c5d25c1a04e17F7975,28764.252212920089014924,38768.432863850213855409
0xf99C8873B972b4192e789F55AB954188D0d9A133,27170.725988072268361865,37278.824350538575909006
0xf7Ea84120a82c92CcD7fea97a93BA6313f183DfC,25629.837086118162819754,39486.230079703472819072
0x6BD3e26DA7FD8D8d1E9DdbE80c477673c9f8195e,24142.512435581346939348,33994.348418127058268646
0x813Ab764FD2A34EaFf4713a89b6087FF5d6cCC08,20781.53866192021191567,12678.355716441178082601
